"Rewrite Rule","Target/As-is URL","Destination/To-be URL (Expected)","Testing Result"
"RewriteRule ^/ja/healthcare/eye/products/otc/sante_medical/product/medical_12.jsp https://www.santen.co.jp/ja/healthcare/eye/products/otc/sante_medical/product/sante_medical/ [R=301,L]","https://www.santen.co.jp/ja/healthcare/eye/products/otc/sante_medical/product/medical_12.jsp","https://www.santen.com/jp/healthcare/eye/products/brand/sante_medical/product/sante_medical",false
"RewriteRule ^/ja/healthcare/eye/products/otc/sante_medical/product/medical_guardEX.jsp https://www.santen.co.jp/ja/healthcare/eye/products/otc/sante_medical/product/sante_medical/ [R=301,L]","https://www.santen.co.jp/ja/healthcare/eye/products/otc/sante_medical/product/medical_guardEX.jsp","https://www.santen.com/jp/healthcare/eye/products/brand/sante_medical/product/sante_medical",false
"RewriteRule ^/ja/healthcare/eye/products/otc/sante_medical/product/medical_active.jsp https://www.santen.co.jp/ja/healthcare/eye/products/otc/sante_medical/product/sante_medical/ [R=301,L]","https://www.santen.co.jp/ja/healthcare/eye/products/otc/sante_medical/product/medical_active.jsp","https://www.santen.com/jp/healthcare/eye/products/brand/sante_medical/product/sante_medical",false
"RewriteRule ^/ja/healthcare/eye/products/otc/sante_medical/product/medical_koukin.jsp https://www.santen.co.jp/ja/healthcare/eye/products/otc/sante_medical/product/sante_medical/ [R=301,L]","https://www.santen.co.jp/ja/healthcare/eye/products/otc/sante_medical/product/medical_koukin.jsp","https://www.santen.com/jp/healthcare/eye/products/brand/sante_medical/product/sante_medical",false
"RewriteRule ^/ja/healthcare/eye/products/otc/sante_medical/cause/index.jsp https://www.santen.co.jp/ja/healthcare/eye/products/otc/sante_medical/ [R=301,L]","https://www.santen.co.jp/ja/healthcare/eye/products/otc/sante_medical/cause/index.jsp","https://www.santen.com/jp/healthcare/eye/products/brand/sante_medical/product/sante_medical",false
"RewriteRule ^/ja/healthcare/eye/products/otc/sante_medical/cause/cause_01.jsp https://www.santen.co.jp/ja/healthcare/eye/products/otc/sante_medical/cause/cause_01/ [R=301,L]","https://www.santen.co.jp/ja/healthcare/eye/products/otc/sante_medical/cause/cause_01.jsp","https://www.santen.coｍ/jp/healthcare/eye/products/brand/sante_medical/cause/cause_01",false
"RewriteRule ^/ja/healthcare/eye/products/otc/sante_medical/cause/cause_02.jsp https://www.santen.co.jp/ja/healthcare/eye/products/otc/sante_medical/cause/cause_02/ [R=301,L]","https://www.santen.co.jp/ja/healthcare/eye/products/otc/sante_medical/cause/cause_02.jsp","https://www.santen.coｍ/jp/healthcare/eye/products/brand/sante_medical/cause/cause_02",false
"RewriteRule ^/ja/healthcare/eye/products/otc/sante_medical/cause/cause_03.jsp https://www.santen.co.jp/ja/healthcare/eye/products/otc/sante_medical/cause/cause_03/ [R=301,L]","https://www.santen.co.jp/ja/healthcare/eye/products/otc/sante_medical/cause/cause_03.jsp","https://www.santen.coｍ/jp/healthcare/eye/products/brand/sante_medical/cause/cause_03",false
"RewriteRule ^/ja/healthcare/eye/products/otc/sante_medical/cause/cause_04.jsp https://www.santen.co.jp/ja/healthcare/eye/products/otc/sante_medical/cause/cause_01/ [R=301,L]","https://www.santen.co.jp/ja/healthcare/eye/products/otc/sante_medical/cause/cause_04.jsp","https://www.santen.coｍ/jp/healthcare/eye/products/brand/sante_medical/cause/cause_01",false
"RewriteRule ^/ja/healthcare/eye/products/otc/sante_medical/role/index.jsp https://www.santen.co.jp/ja/healthcare/eye/products/otc/sante_medical/ [R=301,L]","https://www.santen.co.jp/ja/healthcare/eye/products/otc/sante_medical/role/index.jsp","https://www.santen.com/jp/healthcare/eye/products/brand/sante_medical/product/sante_medical",false
"RewriteRule ^/ja/healthcare/eye/products/otc/sante_medical/cm_gallery/index.jsp https://www.youtube.com/@santen1275/videos [R=301,L]","https://www.santen.co.jp/ja/healthcare/eye/products/otc/sante_medical/cm_gallery/index.jsp","https://www.youtube.com/@santen1275/videos",true
"RewriteRule ^/00(1|3|4|8)/.*$ http://santen-suppli.com/ [R=301,L]","https://www.santen.co.jp/001/","https://santen-suppli.com/",true
"RewriteRule ^/eyecare/.*$ https://www.santen.co.jp/ja/healthcare/eye/ [R=301,L]","https://www.santen.co.jp/eyecare/","https://www.santen.com/jp/healthcare/eye",false
"RewriteRule ^/eyecare_info/.*$ https://www.santen.co.jp/ja/healthcare/eye/ [R=301,L]","https://www.santen.co.jp/eyecare_info/","https://www.santen.com/jp/healthcare/eye",false
"RewriteRule ^/oph/.*$ https://www.santen.co.jp/medical-channel/member/login.html [R=301,L]","https://www.santen.co.jp/oph/","https://www.santen.co.jp/medical-channel/member/login.html",true
"RewriteRule ^/soudan_qa/privacy.html$ https://www.santen.co.jp/ja/privacy/ [R=301,L]","https://www.santen.co.jp/soudan_qa/privacy.html","https://www.santen.com/jp/privacy",false
"RewriteRule ^/index_jump.html$ https://www.santen.co.jp/ja/ [R=301,L]","https://www.santen.co.jp/index_jump.html","https://www.santen.com/jp",false
"RewriteRule ^/mailto.html$  https://www.santen.co.jp/ja/contact/ [R=301,L]","https://www.santen.co.jp/mailto.html","https://www.santen.com/jp/contact",false
"RewriteRule ^/nattoku$ https://www.santen.co.jp/ja/healthcare/eye/library/glaucoma/nattoku/ [R=301,L]","https://www.santen.co.jp/nattoku","https://www.santen.com/jp/healthcare/eye/library/glaucoma/nattoku",false
"RewriteRule ^/ja/sp/glaucoma/$ https://www.santen.co.jp/ja/healthcare/eye/library/glaucoma/nattoku/?link=off [R=301,L]","https://www.santen.co.jp/ja/sp/glaucoma/","https://www.santen.com/jp/healthcare/eye/library/glaucoma/nattoku",false
"RewriteRule ^/ja/sp/green/$ https://www.santen.co.jp/ja/healthcare/eye/library/glaucoma/nattoku/ [R=301,L]","https://www.santen.co.jp/ja/sp/green/","https://www.santen.com/jp/healthcare/eye/library/glaucoma/nattoku",false
"RewriteRule ^/ja/sp/(glaucoma|green)/ryokunaisyo/$ https://www.santen.co.jp/ja/healthcare/eye/library/glaucoma/nattoku/about-gla/ [R=301,L]","https://www.santen.co.jp/ja/sp/glaucoma/ryokunaisyo/","https://www.santen.com/jp/healthcare/eye/library/glaucoma/nattoku/about-gla",false
"RewriteRule ^/ja/sp/(glaucoma|green)/chiryo/$ https://www.santen.co.jp/ja/healthcare/eye/library/glaucoma/nattoku/treatment/ [R=301,L]","https://www.santen.co.jp/ja/sp/glaucoma/chiryo/","https://www.santen.com/jp/healthcare/eye/library/glaucoma/nattoku/treatment",false
"RewriteRule ^/ja/sp/(glaucoma|green)/nichijyo/$ https://www.santen.co.jp/ja/healthcare/eye/library/glaucoma/nattoku/life/ [R=301,L]","https://www.santen.co.jp/ja/sp/glaucoma/nichijyo/","https://www.santen.com/jp/healthcare/eye/library/glaucoma/nattoku/life",false
"RewriteRule ^/ja/sp/green/mob/(.*)$ https://www.santen.co.jp/ja/healthcare/eye/library/glaucoma/nattoku/ [R=301,L]","https://www.santen.co.jp/ja/sp/green/mob/","https://www.santen.com/jp/healthcare/eye/library/glaucoma/nattoku",false
"RewriteRule ^/health/$ https://www.santen.co.jp/ja/ [R=301,L]","https://www.santen.co.jp/health/","https://www.santen.com/jp",false
"RewriteRule ^/health/(index|nankou).shtml$ https://www.santen.co.jp/ja/ [R=301,L]","https://www.santen.co.jp/health/index.shtml","https://www.santen.com/jp",false
"RewriteRule ^/health/health1.shtml$ https://www.santen.co.jp/ja/healthcare/eye/ [R=301,L]","https://www.santen.co.jp/health/health1.shtml","https://www.santen.com/jp/healthcare/eye",false
"RewriteRule ^/health/(dry-eye|namida|contact).shtml$ https://www.santen.co.jp/ja/healthcare/eye/library/dryeye/ [R=301,L]","https://www.santen.co.jp/health/dry-eye.shtml","https://www.santen.com/jp/healthcare/eye/library/dryeye",false
"RewriteRule ^/health/vdt.shtml$ https://www.santen.co.jp/ja/healthcare/eye/library/vdt_syndrome/ [R=301,L]","https://www.santen.co.jp/health/vdt.shtml","https://www.santen.com/jp/healthcare/eye/library/vdt_syndrome",false
"RewriteRule ^/health/(kafun|allergy).shtml$ https://www.santen.co.jp/ja/healthcare/eye/library/allergic_conjunctivitis/ [R=301,L]","https://www.santen.co.jp/health/kafun.shtml","https://www.santen.com/jp/healthcare/eye/library/allergic_conjunctivitis",false
"RewriteRule ^/health/(hayarime|kansen).shtml$ https://www.santen.co.jp/ja/healthcare/eye/library/infection/ [R=301,L]","https://www.santen.co.jp/health/hayarime.shtml","https://www.santen.com/jp/healthcare/eye/library/infection",false
"RewriteRule ^/health/hibunn.shtml$ https://www.santen.co.jp/ja/healthcare/eye/library/muscae_volitantes/ [R=301,L]","https://www.santen.co.jp/health/hibunn.shtml","https://www.santen.com/jp/healthcare/eye/library/muscae_volitantes",false
"RewriteRule ^/health/ryokunai.shtml$ https://www.santen.co.jp/ja/healthcare/eye/library/glaucoma/ [R=301,L]","https://www.santen.co.jp/health/ryokunai.shtml","https://www.santen.com/jp/healthcare/eye/library/glaucoma",false
"RewriteRule ^/health/hakunai.shtml$ https://www.santen.co.jp/ja/healthcare/eye/library/cataract/ [R=301,L]","https://www.santen.co.jp/health/hakunai.shtml","https://www.santen.com/jp/healthcare/eye/library/cataract",false
"RewriteRule ^/health/ohan.shtml$ https://www.santen.co.jp/ja/healthcare/eye/library/amd/ [R=301,L]","https://www.santen.co.jp/health/ohan.shtml","https://www.santen.com/jp/healthcare/eye/library/amd",false
"RewriteRule ^/health/hakuri.shtml$ https://www.santen.co.jp/ja/healthcare/eye/library/retinal_detachment/ [R=301,L]","https://www.santen.co.jp/health/hakuri.shtml","https://www.santen.com/jp/healthcare/eye/library/retinal_detachment",false
"RewriteRule ^/health/pdf/tounyou2.pdf$ https://www.santen.co.jp/ja/healthcare/eye/library/diabetic_retinopathy/ [R=301,L]","https://www.santen.co.jp/health/pdf/tounyou2.pdf","https://www.santen.com/jp/healthcare/eye/library/diabetic_retinopathy",false
"RewriteRule ^/health/ketumaku.shtml$ https://www.santen.co.jp/ja/healthcare/eye/library/hyposphagma/ [R=301,L]","https://www.santen.co.jp/health/ketumaku.shtml","https://www.santen.com/jp/healthcare/eye/library/hyposphagma",false
"RewriteRule ^/health/(kinshi|k-kinshi).shtml$ https://www.santen.co.jp/ja/healthcare/eye/library/myopia/ [R=301,L]","https://www.santen.co.jp/health/kinshi.shtml","https://www.santen.com/jp/healthcare/eye/library/myopia",false
"RewriteRule ^/health/enshi.shtml$ https://www.santen.co.jp/ja/healthcare/eye/library/hyperopia/","https://www.santen.co.jp/health/enshi.shtml","https://www.santen.com/jp/healthcare/eye/library/hyperopia",false
